verb_id,verb,impact_level,role_category,synonym_group,effectiveness_score
0,Architected,Low,IT,1313,0.64
1,Architected,Low,IT,1173,0.73
2,Automated,High,IT,71,0.6
3,Implemented,Medium,IT,553,0.78
4,Developed,High,IT,1738,0.72
5,Automated,Low,IT,1799,0.23
6,Developed,Medium,IT,449,0.23
7,Designed,Medium,IT,1527,0.68
8,Automated,Low,IT,1195,0.76
9,Architected,High,IT,1081,0.51
10,Designed,Low,IT,584,0.14
11,Architected,High,IT,1412,0.9
12,Optimized,High,IT,1134,0.73
13,Automated,High,IT,1268,0.12
14,Developed,High,IT,305,0.79
15,Developed,High,IT,468,0.07
16,Architected,Medium,IT,846,0.8
17,Developed,Low,IT,338,0.31
18,Designed,Medium,IT,1082,0.66
19,Automated,Low,IT,326,0.13
20,Developed,Medium,IT,861,0.66
21,Led,Low,IT,850,0.65
22,Architected,Low,IT,1916,0.69
23,Designed,Low,IT,601,0.39
24,Optimized,High,IT,1207,0.06
25,Automated,High,IT,1648,0.2
26,Implemented,Medium,IT,1435,0.46
27,Architected,Medium,IT,1053,0.14
28,Architected,High,IT,1761,0.11
29,Led,Medium,IT,1341,0.32
30,Optimized,High,IT,1545,0.01
31,Designed,Medium,IT,1172,0.29
32,Optimized,High,IT,1084,0.84
33,Optimized,Low,IT,784,0.88
34,Developed,Low,IT,497,0.98
35,Developed,Low,IT,155,0.44
36,Led,High,IT,1561,0.38
37,Automated,Low,IT,97,0.97
38,Architected,High,IT,1273,0.11
39,Optimized,Medium,IT,1454,0.5
40,Architected,Low,IT,1975,0.71
41,Optimized,Low,IT,507,0.99
42,Architected,Low,IT,996,0.58
43,Architected,Medium,IT,820,0.39
44,Automated,Low,IT,728,0.03
45,Developed,High,IT,1639,0.45
46,Designed,Medium,IT,1021,0.51
47,Automated,Medium,IT,499,0.82
48,Architected,High,IT,1574,0.97
49,Designed,High,IT,272,0.97
50,Designed,High,IT,449,0.3
51,Optimized,High,IT,116,0.43
52,Implemented,High,IT,1694,0.87
53,Optimized,Low,IT,1076,0.19
54,Optimized,Low,IT,1069,0.39
55,Automated,High,IT,815,0.76
56,Automated,High,IT,1554,0.48
57,Optimized,Low,IT,943,0.56
58,Automated,Medium,IT,1391,0.67
59,Implemented,High,IT,1454,0.84
60,Developed,Low,IT,300,0.66
61,Architected,Low,IT,1978,0.12
62,Developed,Low,IT,1814,0.74
63,Designed,High,IT,366,0.56
64,Developed,High,IT,1509,0.87
65,Developed,Medium,IT,567,0.91
66,Developed,High,IT,220,0.14
67,Architected,Low,IT,562,0.92
68,Architected,Low,IT,1458,0.97
69,Implemented,Medium,IT,512,0.93
70,Led,Medium,IT,254,0.77
71,Led,High,IT,1749,0.12
72,Optimized,Low,IT,1567,0.08
73,Led,Medium,IT,1992,0.19
74,Automated,High,IT,1170,0.13
75,Automated,High,IT,1234,0.55
76,Automated,Medium,IT,1041,0.36
77,Designed,Medium,IT,1840,0.06
78,Architected,High,IT,1568,0.85
79,Optimized,Low,IT,1284,0.98
80,Designed,Medium,IT,1334,0.19
81,Developed,Low,IT,231,0.04
82,Led,High,IT,879,0.72
83,Led,Low,IT,774,0.71
84,Optimized,Medium,IT,646,0.41
85,Designed,High,IT,764,0.21
86,Architected,Low,IT,1339,0.63
87,Implemented,High,IT,1902,0.92
88,Automated,Low,IT,1584,0.5
89,Implemented,Low,IT,563,0.32
90,Designed,Low,IT,1453,0.44
91,Designed,Medium,IT,409,0.26
92,Designed,High,IT,1974,0.2
93,Led,Low,IT,1891,0.92
94,Automated,Low,IT,1854,0.8
95,Led,Medium,IT,286,0.96
96,Led,High,IT,329,0.14
97,Led,High,IT,389,0.65
98,Optimized,Low,IT,797,0.7
99,Architected,Low,IT,1229,0.59
100,Led,Medium,IT,1736,0.93
101,Designed,Low,IT,1111,0.55
102,Implemented,Medium,IT,679,0.78
103,Implemented,High,IT,224,1.0
104,Led,Medium,IT,1191,0.43
105,Developed,Medium,IT,134,0.75
106,Automated,Low,IT,624,0.6
107,Optimized,High,IT,1637,0.8
108,Optimized,Low,IT,1516,0.03
109,Led,Low,IT,1581,0.68
110,Designed,High,IT,1157,0.6
111,Led,High,IT,1228,0.35
112,Implemented,Medium,IT,806,0.74
113,Architected,High,IT,1351,0.82
114,Led,High,IT,1327,0.08
115,Optimized,Low,IT,400,0.19
116,Automated,Low,IT,1788,0.84
117,Implemented,Low,IT,924,0.72
118,Architected,Medium,IT,690,0.97
119,Developed,Low,IT,1347,0.61
120,Developed,Low,IT,1720,0.66
121,Developed,High,IT,1845,0.78
122,Implemented,Low,IT,1603,0.63
123,Optimized,Low,IT,1374,0.18
124,Designed,Low,IT,1477,0.41
125,Automated,Low,IT,893,0.63
126,Led,Medium,IT,381,0.75
127,Designed,Medium,IT,1703,0.56
128,Led,High,IT,612,0.81
129,Led,Medium,IT,574,0.98
130,Developed,Low,IT,1813,0.82
131,Optimized,High,IT,1751,0.52
132,Implemented,Medium,IT,570,0.6
133,Led,High,IT,38,0.68
134,Automated,Low,IT,1159,0.69
135,Optimized,Medium,IT,481,0.69
136,Implemented,High,IT,6,0.7
137,Architected,Medium,IT,414,0.76
138,Designed,Low,IT,1392,0.32
139,Architected,High,IT,1937,0.51
140,Implemented,High,IT,1695,0.67
141,Developed,Low,IT,1485,0.02
142,Developed,Low,IT,1169,0.02
143,Automated,Low,IT,1074,0.21
144,Architected,Low,IT,917,0.64
145,Led,Low,IT,1529,0.84
146,Implemented,High,IT,488,0.85
147,Designed,Low,IT,719,0.06
148,Designed,Medium,IT,709,0.41
149,Designed,High,IT,440,0.66
150,Implemented,High,IT,302,0.46
151,Implemented,High,IT,1598,0.09
152,Designed,Medium,IT,261,0.32
153,Designed,Medium,IT,711,0.71
154,Led,Low,IT,1997,0.51
155,Optimized,Medium,IT,732,0.46
156,Designed,Medium,IT,1441,0.01
157,Led,High,IT,1759,0.53
158,Architected,Medium,IT,652,0.6
159,Developed,High,IT,1808,0.38
160,Optimized,Medium,IT,1119,0.17
161,Automated,Medium,IT,942,0.84
162,Automated,High,IT,682,0.44
163,Designed,Low,IT,596,0.2
164,Designed,High,IT,1300,0.93
165,Designed,Low,IT,224,0.13
166,Automated,Medium,IT,1046,0.25
167,Implemented,High,IT,1579,0.46
168,Implemented,Medium,IT,570,0.8
169,Designed,High,IT,1633,0.57
170,Optimized,High,IT,1012,0.72
171,Developed,High,IT,79,0.77
172,Designed,Low,IT,1141,0.32
