path_id,current_role_id,next_role_id,transition_difficulty_score,required_additional_skills,required_experience_years,recommended_certifications,average_transition_time_months,salary_growth_percent,role_similarity_score
0,685,456,0.95,"68,138,42",1,AWS Certification,21,76,0.13
1,315,29,0.54,"328,594,336",4,AWS Certification,16,70,0.64
2,924,693,0.75,"196,181,996",5,AWS Certification,19,32,0.82
3,644,268,0.04,"651,104,895",3,AWS Certification,23,65,0.86
4,146,64,0.85,"161,73,9",1,AWS Certification,6,70,0.6
5,682,752,0.32,"153,824,387",1,AWS Certification,18,11,0.75
6,446,294,0.34,"524,843,208",1,AWS Certification,15,24,0.31
7,137,794,0.62,"679,181,539",4,AWS Certification,15,78,0.77
8,122,721,0.67,"378,229,532",1,AWS Certification,15,22,0.35
9,848,346,0.23,"377,914,358",4,AWS Certification,22,78,0.89
10,19,243,0.58,"57,756,945",4,AWS Certification,20,38,0.35
11,496,735,0.22,"163,614,440",2,AWS Certification,14,64,0.16
12,527,320,0.21,"866,82,687",2,AWS Certification,15,62,0.85
13,513,262,0.81,"885,978,919",3,AWS Certification,17,27,0.35
14,656,644,0.14,"960,889,310",1,AWS Certification,9,53,0.83
15,408,522,0.86,"945,661,60",3,AWS Certification,9,39,0.82
16,732,854,0.82,"550,503,9",4,AWS Certification,14,78,0.1
17,218,196,0.63,"998,426,323",3,AWS Certification,21,28,0.95
18,235,129,0.69,"475,878,9",5,AWS Certification,14,75,0.7
19,156,204,0.66,"537,940,567",3,AWS Certification,6,72,0.28
20,976,662,0.54,"846,443,653",3,AWS Certification,19,16,0.97
21,226,509,0.44,"194,796,53",5,AWS Certification,17,48,0.91
22,972,588,0.22,"393,551,956",2,AWS Certification,13,27,0.29
23,874,291,0.93,"950,484,838",1,AWS Certification,9,52,0.96
24,898,203,0.55,"678,74,744",3,AWS Certification,23,49,0.19
25,50,706,0.69,"278,348,603",3,AWS Certification,7,41,0.34
26,405,722,0.78,"866,378,475",3,AWS Certification,21,24,0.14
27,497,517,0.85,"115,87,943",5,AWS Certification,9,19,0.37
28,565,695,0.33,"877,867,286",4,AWS Certification,23,56,0.51
29,562,595,0.56,"285,375,460",3,AWS Certification,18,35,1.0
30,735,30,0.05,"929,168,141",5,AWS Certification,15,73,0.61
31,172,398,0.79,"258,378,743",3,AWS Certification,22,77,0.54
32,378,515,0.11,"26,267,851",1,AWS Certification,19,31,0.83
33,887,340,0.53,"492,439,222",1,AWS Certification,12,38,0.46
34,381,364,0.18,"521,122,667",5,AWS Certification,15,24,0.51
35,857,987,0.49,"728,705,312",1,AWS Certification,9,10,0.39
36,348,294,0.59,"507,454,111",2,AWS Certification,20,71,0.4
37,828,766,0.97,"529,104,599",1,AWS Certification,21,50,0.79
38,757,229,0.35,"49,126,451",1,AWS Certification,20,19,0.99
39,982,686,0.02,"92,315,151",4,AWS Certification,7,67,0.31
40,54,904,0.76,"984,414,907",2,AWS Certification,22,44,0.23
41,446,867,0.4,"361,979,251",4,AWS Certification,17,79,0.5
42,285,349,0.83,"33,196,641",2,AWS Certification,7,40,0.42
43,500,559,0.35,"231,609,578",2,AWS Certification,21,55,0.39
44,5,137,0.3,"647,516,474",5,AWS Certification,24,50,0.53
45,627,376,0.51,"780,142,993",3,AWS Certification,12,17,0.06
46,583,71,0.03,"407,642,753",5,AWS Certification,13,48,0.4
47,694,811,0.87,"48,128,141",4,AWS Certification,13,80,0.28
48,593,317,0.91,"206,313,399",5,AWS Certification,6,72,0.87
49,663,526,0.22,"811,671,176",4,AWS Certification,22,51,0.74
50,602,81,0.83,"339,744,868",3,AWS Certification,19,52,0.81
51,770,845,0.59,"390,273,47",2,AWS Certification,7,43,0.81
52,3,170,0.39,"588,316,904",3,AWS Certification,23,18,0.68
53,427,726,0.02,"733,398,867",3,AWS Certification,12,26,0.36
54,280,443,0.56,"624,133,397",2,AWS Certification,24,55,0.62
55,732,994,0.85,"157,581,511",1,AWS Certification,10,74,0.86
56,554,70,0.04,"59,542,176",3,AWS Certification,19,14,0.92
57,230,874,0.87,"832,744,935",1,AWS Certification,7,55,0.42
58,186,625,0.06,"568,839,998",1,AWS Certification,18,60,0.84
59,129,497,0.62,"221,750,703",5,AWS Certification,17,30,0.31
60,507,732,0.23,"481,671,809",2,AWS Certification,18,28,0.85
61,726,643,0.92,"403,636,67",4,AWS Certification,17,47,0.65
62,123,722,0.39,"568,466,238",3,AWS Certification,19,15,0.72
63,725,635,0.96,"731,852,386",1,AWS Certification,18,65,0.66
64,291,394,0.82,"262,431,575",5,AWS Certification,23,68,0.98
65,506,689,0.22,"536,173,899",1,AWS Certification,18,60,0.28
66,838,967,0.81,"22,188,953",4,AWS Certification,12,37,0.02
67,162,635,0.3,"509,626,332",5,AWS Certification,23,37,0.57
68,915,440,0.12,"186,844,659",3,AWS Certification,17,12,0.75
69,696,779,0.47,"776,153,945",4,AWS Certification,9,43,0.55
70,113,534,0.26,"980,346,31",2,AWS Certification,12,31,0.68
71,955,769,0.09,"913,758,879",5,AWS Certification,21,75,0.06
72,685,411,0.03,"286,383,465",2,AWS Certification,6,64,0.64
73,45,430,0.03,"520,778,159",5,AWS Certification,15,38,0.21
74,60,747,0.91,"504,803,173",4,AWS Certification,12,60,0.05
75,537,306,0.93,"731,606,794",3,AWS Certification,13,40,0.38
76,951,125,0.82,"980,169,35",1,AWS Certification,17,56,0.52
77,213,172,0.13,"546,979,604",5,AWS Certification,24,58,0.45
78,36,726,0.23,"556,629,948",5,AWS Certification,12,67,0.49
79,699,108,0.08,"637,116,162",1,AWS Certification,21,77,0.05
80,679,750,0.18,"245,727,182",2,AWS Certification,20,77,0.94
81,429,86,0.97,"622,80,668",5,AWS Certification,7,17,0.71
82,426,302,0.38,"307,559,948",3,AWS Certification,12,36,0.57
83,751,664,0.68,"509,846,668",1,AWS Certification,17,26,0.08
84,588,462,0.4,"568,662,563",2,AWS Certification,12,40,0.37
85,132,170,0.1,"222,897,931",2,AWS Certification,6,56,0.22
86,892,377,0.71,"487,300,414",3,AWS Certification,8,32,0.72
87,136,365,0.43,"241,624,794",5,AWS Certification,6,80,0.07
88,377,198,0.77,"253,551,374",3,AWS Certification,22,72,0.8
89,190,596,0.64,"452,571,161",5,AWS Certification,24,54,0.26
90,9,752,0.14,"338,877,523",4,AWS Certification,22,37,0.96
91,1,691,0.77,"975,504,329",3,AWS Certification,24,11,0.52
92,392,806,0.65,"300,345,735",3,AWS Certification,24,73,0.91
93,208,179,0.47,"413,596,7",2,AWS Certification,13,61,0.9
94,38,328,0.24,"431,878,333",2,AWS Certification,15,63,0.62
95,435,791,0.63,"578,684,516",4,AWS Certification,8,45,0.27
96,496,950,0.91,"927,326,867",2,AWS Certification,18,35,0.82
97,53,115,0.99,"747,993,676",5,AWS Certification,9,48,0.15
98,482,696,0.08,"33,550,116",1,AWS Certification,17,54,0.73
99,137,610,0.58,"577,148,973",4,AWS Certification,23,45,0.19
100,643,280,0.95,"330,329,751",2,AWS Certification,19,38,0.78
101,913,749,0.48,"624,246,998",4,AWS Certification,24,30,0.76
102,623,435,0.47,"13,353,547",5,AWS Certification,8,27,0.36
103,632,220,0.71,"685,814,468",3,AWS Certification,12,73,0.41
104,179,26,0.35,"234,527,986",4,AWS Certification,8,35,0.03
105,308,490,0.74,"811,594,135",1,AWS Certification,9,77,0.98
106,494,581,0.96,"844,86,512",3,AWS Certification,21,12,0.72
107,245,658,0.25,"659,326,141",1,AWS Certification,6,15,0.23
108,688,888,0.04,"485,647,742",1,AWS Certification,17,33,0.8
109,344,378,0.79,"171,138,363",4,AWS Certification,14,55,0.93
110,209,448,0.75,"500,45,704",4,AWS Certification,13,80,0.57
111,631,332,0.44,"670,547,200",3,AWS Certification,19,71,0.49
112,63,46,0.83,"314,71,257",3,AWS Certification,12,12,0.09
113,249,517,0.94,"196,331,843",5,AWS Certification,18,63,0.07
114,613,970,0.77,"359,493,222",3,AWS Certification,7,74,0.77
115,599,245,0.1,"733,292,643",3,AWS Certification,10,56,0.13
116,226,756,0.57,"997,469,16",4,AWS Certification,8,18,0.86
117,55,222,0.08,"723,545,32",1,AWS Certification,12,69,0.45
118,499,114,0.82,"64,380,781",2,AWS Certification,15,58,0.76
119,734,365,0.03,"969,546,556",4,AWS Certification,20,71,0.61
120,69,315,0.02,"147,101,134",5,AWS Certification,13,60,0.23
121,259,877,0.91,"34,12,766",2,AWS Certification,13,41,0.15
122,628,793,0.38,"972,400,475",4,AWS Certification,20,33,1.0
123,963,185,0.9,"628,377,675",2,AWS Certification,10,54,0.68
124,190,551,0.9,"463,200,100",2,AWS Certification,16,34,0.48
125,393,191,0.87,"637,843,970",4,AWS Certification,17,35,0.91
126,844,275,0.77,"94,783,461",1,AWS Certification,21,55,0.36
127,936,159,0.21,"889,833,700",2,AWS Certification,21,41,0.48
128,54,881,0.6,"911,946,531",2,AWS Certification,24,76,0.61
129,99,549,0.17,"635,932,461",3,AWS Certification,20,37,0.23
130,270,370,0.9,"690,561,387",5,AWS Certification,15,70,0.73
131,124,170,0.23,"114,375,264",3,AWS Certification,21,56,0.42
132,677,750,0.4,"361,287,892",3,AWS Certification,11,25,0.71
133,320,495,0.29,"742,555,458",5,AWS Certification,7,29,0.56
134,108,89,0.67,"217,138,309",2,AWS Certification,18,36,0.84
135,156,805,0.72,"302,705,569",1,AWS Certification,18,36,0.98
136,674,868,0.21,"366,56,301",1,AWS Certification,11,11,0.34
