certification_id,certification_name,provider,related_skill_id,difficulty_level,average_cost,duration_months,global_recognition_score,renewal_required,validity_years
0,AWS Solutions Architect,ProviderX,125,Advanced,471,6,0.92,Yes,4
1,Azure Administrator,ProviderX,467,Intermediate,280,3,0.54,No,4
2,Google Cloud Engineer,ProviderX,972,Intermediate,376,2,0.87,Yes,2
3,Oracle Java SE,ProviderX,272,Beginner,71,3,0.85,No,5
4,Azure Administrator,ProviderX,587,Beginner,340,5,0.47,Yes,1
5,Azure Administrator,ProviderX,424,Advanced,152,5,0.71,No,5
6,TensorFlow Developer,ProviderX,776,Advanced,146,3,0.32,No,3
7,Google Cloud Engineer,ProviderX,927,Advanced,361,1,0.71,No,3
8,Oracle Java SE,ProviderX,27,Advanced,206,2,0.18,No,2
9,Oracle Java SE,ProviderX,332,Beginner,467,7,0.5,No,5
10,AWS Solutions Architect,ProviderX,972,Intermediate,430,11,0.51,Yes,1
11,AWS Solutions Architect,ProviderX,356,Beginner,490,9,0.32,No,3
12,Google Cloud Engineer,ProviderX,883,Intermediate,208,9,0.73,No,2
13,Google Cloud Engineer,ProviderX,510,Advanced,392,2,0.94,No,1
14,Oracle Java SE,ProviderX,588,Advanced,322,6,0.63,Yes,2
15,Google Cloud Engineer,ProviderX,670,Advanced,66,10,0.54,Yes,1
16,Oracle Java SE,ProviderX,204,Intermediate,354,3,0.73,No,3
17,Azure Administrator,ProviderX,987,Advanced,486,1,0.05,No,3
18,Google Cloud Engineer,ProviderX,871,Advanced,189,1,0.02,Yes,5
19,Oracle Java SE,ProviderX,242,Advanced,266,6,0.79,Yes,4
20,TensorFlow Developer,ProviderX,26,Advanced,126,7,0.71,Yes,2
21,Oracle Java SE,ProviderX,796,Intermediate,340,2,0.55,Yes,2
22,Google Cloud Engineer,ProviderX,92,Intermediate,447,10,0.25,Yes,5
23,Oracle Java SE,ProviderX,9,Advanced,161,3,0.92,Yes,3
24,Google Cloud Engineer,ProviderX,844,Beginner,52,5,0.45,No,5
25,Google Cloud Engineer,ProviderX,698,Advanced,173,9,0.53,No,1
26,TensorFlow Developer,ProviderX,143,Advanced,51,6,0.64,Yes,4
27,Azure Administrator,ProviderX,358,Advanced,123,6,0.63,No,4
28,TensorFlow Developer,ProviderX,540,Intermediate,370,5,0.93,No,3
29,Google Cloud Engineer,ProviderX,590,Intermediate,431,6,0.55,Yes,2
30,Google Cloud Engineer,ProviderX,173,Beginner,474,12,0.77,No,1
31,AWS Solutions Architect,ProviderX,183,Advanced,357,3,1.0,Yes,1
32,AWS Solutions Architect,ProviderX,945,Advanced,437,5,0.94,No,1
33,Google Cloud Engineer,ProviderX,646,Advanced,352,6,0.19,Yes,3
34,AWS Solutions Architect,ProviderX,140,Beginner,54,5,0.26,No,3
35,Google Cloud Engineer,ProviderX,412,Beginner,499,12,0.54,No,1
36,Google Cloud Engineer,ProviderX,232,Intermediate,245,5,0.21,No,4
37,AWS Solutions Architect,ProviderX,780,Intermediate,54,4,0.92,Yes,3
38,TensorFlow Developer,ProviderX,17,Advanced,276,12,0.63,No,1
39,Azure Administrator,ProviderX,583,Intermediate,255,11,0.59,No,5
40,AWS Solutions Architect,ProviderX,803,Intermediate,498,3,0.98,No,2
41,Oracle Java SE,ProviderX,74,Advanced,209,2,0.47,Yes,2
42,Azure Administrator,ProviderX,43,Intermediate,389,4,0.92,No,3
43,AWS Solutions Architect,ProviderX,579,Beginner,399,7,0.78,Yes,1
44,Azure Administrator,ProviderX,989,Advanced,440,10,0.64,No,4
45,Oracle Java SE,ProviderX,350,Intermediate,66,1,0.28,Yes,2
46,Google Cloud Engineer,ProviderX,431,Intermediate,152,8,0.69,No,5
47,TensorFlow Developer,ProviderX,1000,Advanced,285,3,0.34,Yes,3
48,Azure Administrator,ProviderX,396,Advanced,171,4,0.63,Yes,1
49,Azure Administrator,ProviderX,416,Beginner,157,5,0.46,Yes,5
