domain_id,domain_name,parent_domain,industry_sector,domain_growth_rate,automation_risk_score
0,FinTech,Technology,IT,18.77,0.55
1,Cloud Computing,Technology,IT,19.5,0.19
2,Cybersecurity,Technology,IT,5.93,0.02
3,Cybersecurity,Technology,IT,10.69,0.84
4,HealthTech,Technology,IT,21.1,0.31
5,Software Development,Technology,IT,19.65,0.83
6,Cybersecurity,Technology,IT,5.72,0.43
7,Cybersecurity,Technology,IT,17.74,0.33
8,FinTech,Technology,IT,15.35,0.89
9,Software Development,Technology,IT,4.0,0.53
10,Cloud Computing,Technology,IT,18.38,0.5
11,Cloud Computing,Technology,IT,7.67,0.38
12,Data Science,Technology,IT,12.04,0.37
13,FinTech,Technology,IT,6.62,0.91
14,FinTech,Technology,IT,20.08,0.13
15,Software Development,Technology,IT,23.27,0.82
16,FinTech,Technology,IT,4.35,0.25
17,Software Development,Technology,IT,12.94,0.64
18,FinTech,Technology,IT,11.08,0.8
19,Cloud Computing,Technology,IT,4.95,0.14
20,Software Development,Technology,IT,22.73,0.13
21,Cybersecurity,Technology,IT,13.39,0.86
22,Cloud Computing,Technology,IT,11.62,0.06
23,Software Development,Technology,IT,21.67,0.82
24,Cybersecurity,Technology,IT,23.54,0.32
25,FinTech,Technology,IT,22.0,0.1
26,FinTech,Technology,IT,10.01,0.56
27,Software Development,Technology,IT,20.94,0.71
28,Data Science,Technology,IT,22.42,0.41
29,Cybersecurity,Technology,IT,3.01,0.06
30,HealthTech,Technology,IT,6.77,0.94
31,HealthTech,Technology,IT,24.15,0.4
32,Software Development,Technology,IT,19.21,0.9
33,HealthTech,Technology,IT,21.97,0.36
34,FinTech,Technology,IT,22.5,0.07
35,Software Development,Technology,IT,3.89,0.47
36,Data Science,Technology,IT,8.18,1.0
37,Data Science,Technology,IT,3.59,0.06
38,Data Science,Technology,IT,14.24,0.66
39,Cybersecurity,Technology,IT,19.58,0.93
40,Data Science,Technology,IT,6.74,0.21
41,Cloud Computing,Technology,IT,24.44,0.28
42,HealthTech,Technology,IT,17.31,0.34
43,HealthTech,Technology,IT,18.14,0.03
44,Data Science,Technology,IT,7.71,0.7
