rule_id,rule_name,rule_type,threshold_value,weight,severity_level,recommendation_text
0,Hyperlink Validation,formatting,1,0.21,Low,Verify links point to professional content
1,Quantified Achievements,content,44,0.08,Medium,"Add team sizes, project budgets, or user counts"
2,Keyword Density,content,8,0.47,High,Include 15-25 relevant keywords from the job description
3,Certification Listing,content,3,0.47,Medium,List certifications with issuing body and date
4,Font Consistency,formatting,1,0.61,Low,Avoid decorative or script fonts
5,Contact Information Completeness,content,3,0.2,High,"Include full name, email, phone, LinkedIn, and location"
6,Experience Date Format,formatting,1,0.76,Medium,Use 'Present' for current positions
7,Education Section Detail,content,5,0.99,Low,Add relevant coursework for entry-level candidates
8,Personal Pronoun Usage,grammar,2,0.53,High,Resume should use implied first person
9,Keyword Density,content,5,0.81,Medium,Match exact phrases from the job posting when possible
10,Font Consistency,formatting,1,0.95,Medium,"Use 14-16pt for name, 12-14pt for section headers"
11,Section Order,structure,4,1.0,High,Lead with Summary/Profile section for immediate impact
12,Section Order,structure,6,0.07,High,Put Skills section near the top for ATS optimization
13,Quantified Achievements,content,76,0.09,Critical,"Add team sizes, project budgets, or user counts"
14,Action Verb Usage,content,71,0.54,Medium,Avoid repeating the same action verb within a role
15,Summary Section Length,formatting,74,0.11,Medium,Keep professional summary to 3-4 sentences maximum
16,Experience Date Format,formatting,3,0.83,Medium,Avoid listing only years — include months for precision
17,ATS-Friendly Formatting,compatibility,2,0.75,High,"Use standard section headers (Experience, Education, Skills)"
18,Hyperlink Validation,formatting,1,0.8,Medium,Ensure all URLs are clickable and functional
19,Bullet Point Count Per Role,formatting,6,0.43,Low,Add more bullet points to fully describe your contributions
20,White Space Ratio,formatting,28,0.79,Medium,Maintain 20-30% white space for readability
21,Education Section Detail,content,2,0.75,Medium,"Include degree, institution, graduation year, and GPA if above 3.5"
22,Summary Section Length,formatting,56,0.77,Low,Include 2-3 key achievements in your summary
23,Certification Listing,content,8,0.15,Low,Include certification ID or verification link
24,White Space Ratio,formatting,27,0.99,Low,Ensure the resume doesn't look cluttered or sparse
25,Contact Information Completeness,content,6,0.86,Critical,Ensure email is professional (not personal/funny)
26,Acronym Expansion,content,8,0.35,Low,Spell out acronyms on first use with abbreviation in parentheses
27,Tense Consistency,grammar,88,0.67,Low,Be consistent within each role's bullet points
28,White Space Ratio,formatting,39,0.52,Low,Ensure the resume doesn't look cluttered or sparse
29,Gap Analysis,timeline,6,0.54,Medium,Use functional format if gaps are significant
30,Summary Section Length,formatting,44,0.73,Low,Keep professional summary to 3-4 sentences maximum
31,Resume Length,formatting,3,0.26,Medium,2-page maximum for senior professionals
32,Skills Section Format,formatting,14,0.68,Medium,Prioritize hard skills over soft skills in this section
33,Personal Pronoun Usage,grammar,4,0.36,High,Start bullets with action verbs instead of pronouns
