keyword_id,role_id,keyword,keyword_type,frequency_weight,is_primary_keyword,keyword_category,synonym_group_id
0,35326,testing,technical,0.02,True,tool,633
1,31849,ci/cd,technical,0.55,False,tool,1992
2,23924,data pipeline,technical,0.76,True,tool,53
3,19261,cloud,technical,0.27,False,tool,1342
4,45275,backend,technical,0.93,False,tool,1725
5,31455,data pipeline,technical,0.99,True,tool,580
6,24815,microservices,technical,0.32,False,tool,714
7,40280,ci/cd,technical,0.31,True,tool,898
8,23385,data pipeline,technical,0.55,True,tool,294
9,16381,microservices,technical,0.63,True,tool,191
10,555,testing,technical,0.63,False,tool,647
11,37485,microservices,technical,0.69,False,tool,154
12,44893,microservices,technical,0.43,False,tool,1139
13,19460,ml model,technical,0.3,True,tool,295
14,42215,cloud,technical,0.19,False,tool,149
15,15788,backend,technical,0.76,True,tool,192
16,23992,testing,technical,0.9,False,tool,414
17,39291,microservices,technical,0.53,True,tool,730
18,22924,testing,technical,0.37,True,tool,1562
19,40608,testing,technical,0.93,False,tool,1487
20,18481,ml model,technical,0.62,True,tool,614
21,36003,backend,technical,0.45,False,tool,1113
22,31218,backend,technical,0.19,False,tool,1124
23,48018,backend,technical,0.58,True,tool,657
24,16431,data pipeline,technical,0.39,False,tool,198
25,48121,api,technical,0.35,True,tool,1179
26,14286,backend,technical,0.52,False,tool,1693
27,14795,ci/cd,technical,0.38,True,tool,666
28,19269,ml model,technical,0.64,False,tool,1649
29,16504,ci/cd,technical,0.34,True,tool,1332
30,41517,api,technical,0.42,False,tool,39
31,14454,frontend,technical,0.88,False,tool,921
32,34159,cloud,technical,0.6,False,tool,144
33,25748,ml model,technical,0.43,False,tool,1736
34,45702,ci/cd,technical,0.25,True,tool,1283
35,39897,backend,technical,0.04,False,tool,462
36,46283,ml model,technical,0.58,False,tool,1596
37,41838,data pipeline,technical,0.74,False,tool,780
38,42828,ci/cd,technical,0.58,True,tool,1890
39,36296,backend,technical,0.88,True,tool,764
40,2101,cloud,technical,0.8,True,tool,477
41,46885,ci/cd,technical,0.14,True,tool,1546
42,9097,frontend,technical,0.44,False,tool,187
43,5223,cloud,technical,0.08,True,tool,449
44,46468,testing,technical,0.23,True,tool,732
45,22440,frontend,technical,0.58,True,tool,84
46,730,ml model,technical,0.0,True,tool,557
47,8107,api,technical,0.99,False,tool,504
48,30331,data pipeline,technical,0.19,True,tool,1796
49,38790,ci/cd,technical,0.42,False,tool,191
50,2355,microservices,technical,0.37,False,tool,1017
51,40289,backend,technical,0.41,False,tool,637
52,15766,microservices,technical,0.38,False,tool,1046
53,14946,testing,technical,0.54,True,tool,1695
54,40931,testing,technical,0.26,True,tool,313
55,46859,microservices,technical,0.38,True,tool,1309
56,18642,backend,technical,0.05,True,tool,1493
57,28745,cloud,technical,0.53,True,tool,257
58,32960,ml model,technical,0.17,True,tool,1361
59,38703,testing,technical,0.42,False,tool,95
60,27382,ci/cd,technical,0.97,False,tool,397
61,13484,cloud,technical,0.26,False,tool,74
62,5532,cloud,technical,0.61,False,tool,303
63,24304,cloud,technical,0.68,False,tool,390
64,39988,ci/cd,technical,0.41,False,tool,1063
65,45272,testing,technical,0.93,False,tool,1790
66,40114,frontend,technical,0.27,False,tool,1667
67,18778,cloud,technical,0.1,True,tool,276
68,33684,ci/cd,technical,0.54,False,tool,394
69,25372,api,technical,0.07,False,tool,585
70,4577,api,technical,0.12,False,tool,968
71,15606,microservices,technical,0.38,False,tool,1087
72,41183,microservices,technical,0.87,False,tool,1550
73,29948,backend,technical,0.56,False,tool,123
74,40296,api,technical,0.84,True,tool,823
75,46102,backend,technical,0.35,True,tool,91
76,18711,cloud,technical,0.91,True,tool,589
77,48146,data pipeline,technical,0.21,False,tool,1605
78,36110,testing,technical,0.05,True,tool,915
79,28258,ml model,technical,0.61,True,tool,79
80,19635,backend,technical,0.75,False,tool,1803
81,41712,frontend,technical,0.72,False,tool,1809
82,8972,cloud,technical,1.0,True,tool,222
83,33531,api,technical,0.13,True,tool,1023
84,802,microservices,technical,0.59,False,tool,1243
85,3133,backend,technical,0.28,False,tool,999
86,25795,cloud,technical,0.93,True,tool,1984
87,48761,frontend,technical,0.2,True,tool,915
88,10789,microservices,technical,0.33,False,tool,905
89,37479,microservices,technical,0.35,False,tool,271
90,47653,testing,technical,0.12,True,tool,533
91,26638,ml model,technical,0.16,True,tool,1754
92,41898,backend,technical,0.55,False,tool,948
93,42347,ml model,technical,0.8,True,tool,1073
94,37857,testing,technical,0.17,False,tool,565
95,30268,ml model,technical,0.48,True,tool,920
96,13692,testing,technical,0.22,True,tool,1394
97,5697,api,technical,0.96,False,tool,1712
