mapping_id,role_id,skill_id,importance_weight,required_level,is_mandatory,experience_required_years,recency_required_years,certification_required,priority_rank
0,23752,25292,0.36,Advanced,No,6,1,Yes,8
1,34881,11787,0.17,Advanced,Yes,1,4,No,6
2,23247,39946,0.66,Advanced,No,1,1,No,4
3,16840,27983,0.75,Advanced,Yes,2,4,Yes,7
4,44468,36922,0.09,Advanced,No,7,3,No,2
5,6101,1244,0.46,Intermediate,Yes,1,5,Yes,7
6,14211,10482,0.03,Basic,No,9,3,Yes,9
7,2785,5641,0.8,Advanced,No,0,4,Yes,10
8,35481,32963,0.05,Basic,No,9,1,Yes,8
9,4591,22178,0.54,Basic,No,6,3,No,5
10,11124,22177,0.5,Advanced,No,1,2,No,7
11,36800,24131,0.11,Basic,No,3,5,Yes,9
12,36600,5010,0.99,Intermediate,Yes,2,3,No,1
13,22302,37411,0.78,Intermediate,No,9,2,No,1
14,2348,13499,0.15,Intermediate,No,0,5,No,5
15,26404,31817,0.9,Intermediate,No,4,5,Yes,5
16,13606,42413,0.67,Intermediate,Yes,8,1,No,3
17,47742,15372,0.21,Advanced,No,10,4,No,5
18,20582,41925,0.83,Basic,Yes,0,2,Yes,3
19,1689,43321,0.83,Advanced,No,4,3,No,2
20,43535,22403,0.11,Basic,No,8,5,No,1
21,44618,23820,0.55,Basic,Yes,7,4,No,6
22,39041,26848,0.58,Intermediate,No,3,1,Yes,8
23,8165,33709,0.36,Basic,Yes,3,3,No,10
24,28206,19934,0.8,Advanced,No,2,2,Yes,8
25,49614,10211,0.1,Basic,Yes,8,3,No,5
26,15494,3704,0.49,Intermediate,Yes,6,2,No,9
27,31153,42421,0.05,Intermediate,Yes,5,2,Yes,6
28,13070,6698,0.97,Intermediate,Yes,9,1,No,5
29,35223,18040,0.51,Intermediate,No,2,3,No,3
30,24320,27639,0.54,Basic,Yes,10,5,No,4
31,28430,28106,0.75,Advanced,Yes,0,1,Yes,2
32,12666,6484,0.36,Advanced,Yes,4,5,Yes,7
33,18262,47529,0.07,Intermediate,No,3,5,No,9
34,42410,20053,0.73,Basic,No,9,5,Yes,7
35,4832,45270,0.84,Intermediate,Yes,1,3,Yes,4
36,22800,19647,0.34,Intermediate,No,4,2,No,8
37,9878,44403,0.84,Intermediate,No,3,3,Yes,2
38,22244,11583,0.08,Intermediate,Yes,3,4,No,6
39,16198,45459,0.25,Intermediate,Yes,3,4,Yes,6
40,42480,46686,0.08,Advanced,Yes,7,2,Yes,2
41,13622,26832,0.13,Basic,Yes,0,3,No,5
42,13849,27452,0.15,Advanced,No,3,3,No,1
43,21463,45462,0.31,Advanced,No,7,1,Yes,5
44,5494,33790,0.07,Intermediate,Yes,8,2,Yes,5
45,46740,16808,0.01,Advanced,Yes,7,5,No,4
46,620,18072,0.32,Advanced,Yes,9,3,Yes,5
47,46933,13377,0.41,Intermediate,Yes,10,2,Yes,7
48,24485,26502,0.33,Basic,No,0,2,No,7
49,48321,22452,0.92,Intermediate,Yes,1,1,No,1
50,31382,28951,0.76,Intermediate,No,1,3,No,6
51,39024,45278,0.52,Intermediate,No,9,1,Yes,9
52,20470,46631,0.87,Basic,Yes,1,4,No,10
53,44425,21427,0.33,Advanced,No,4,5,No,9
54,45191,29016,0.31,Advanced,Yes,7,1,Yes,4
55,20930,18781,0.49,Basic,No,10,2,Yes,10
56,18221,38806,0.07,Basic,Yes,10,5,No,2
57,49968,24459,0.45,Advanced,No,3,4,Yes,8
58,27692,32508,0.18,Basic,No,5,5,No,8
59,34627,6206,0.12,Advanced,Yes,3,3,No,9
60,47853,24079,0.71,Advanced,Yes,9,2,No,7
61,46454,47043,0.65,Advanced,Yes,4,1,No,3
62,32533,30027,0.02,Advanced,No,7,2,No,3
63,9117,29641,0.79,Intermediate,Yes,6,4,No,1
64,32858,6219,0.01,Basic,No,9,1,No,10
65,4848,34527,0.74,Intermediate,No,10,3,Yes,9
66,7234,28101,0.62,Basic,Yes,6,1,Yes,7
67,7308,39646,0.81,Intermediate,Yes,3,3,Yes,2
68,9710,34343,0.7,Intermediate,Yes,2,1,Yes,8
69,735,43409,0.75,Advanced,No,4,2,Yes,1
70,21624,9680,0.67,Advanced,No,4,3,Yes,2
71,9333,30465,0.41,Intermediate,No,7,2,No,7
72,4032,3254,0.35,Intermediate,Yes,7,4,No,4
73,27255,33308,0.51,Basic,Yes,0,5,Yes,4
74,17678,8957,0.13,Intermediate,Yes,1,2,Yes,7
75,10014,22336,0.15,Advanced,No,10,3,No,7
76,31075,23117,0.5,Advanced,Yes,7,4,No,10
77,45831,34267,0.75,Basic,Yes,5,1,Yes,5
78,48637,20997,0.59,Intermediate,Yes,0,4,Yes,1
79,22994,22205,0.24,Intermediate,No,7,2,Yes,6
80,501,44301,0.07,Basic,Yes,2,5,No,2
81,8249,24010,0.44,Basic,No,4,1,No,9
82,41812,30473,0.63,Advanced,Yes,10,2,No,5
83,26651,46005,0.53,Advanced,No,3,5,No,1
84,12151,38806,0.31,Intermediate,No,6,5,Yes,5
85,11156,1689,0.52,Intermediate,Yes,5,4,No,5
86,47260,10966,0.61,Advanced,Yes,1,4,Yes,5
87,35721,36729,0.73,Intermediate,Yes,7,4,Yes,10
88,9477,36999,0.45,Advanced,No,4,5,Yes,3
89,14852,41463,0.63,Basic,No,9,3,Yes,4
90,34742,40421,0.76,Basic,Yes,6,5,No,5
91,10019,29713,0.63,Basic,Yes,5,1,Yes,4
92,17028,35121,0.66,Intermediate,Yes,9,4,No,10
93,29879,9952,0.87,Basic,No,6,2,Yes,1
94,7807,14431,0.1,Advanced,Yes,8,3,Yes,7
95,36681,43674,0.33,Basic,No,2,3,Yes,6
96,44935,13230,0.38,Intermediate,No,2,3,Yes,9
97,49853,9121,0.09,Advanced,No,2,4,Yes,5
98,41463,25552,0.09,Basic,No,9,2,Yes,3
99,19439,16646,0.88,Intermediate,Yes,0,4,No,9
100,7778,24913,0.66,Basic,No,3,2,No,10
101,26195,45490,0.12,Basic,Yes,1,4,No,6
102,8714,167,0.07,Advanced,Yes,5,5,No,9
103,18347,44789,0.8,Intermediate,Yes,9,3,No,6
104,24027,39402,0.09,Advanced,Yes,4,1,No,9
105,16917,23722,0.77,Intermediate,No,8,1,No,2
106,10021,47294,0.25,Intermediate,Yes,1,3,Yes,2
107,39482,38622,0.3,Advanced,No,1,2,Yes,1
108,32783,48810,0.2,Basic,Yes,7,3,No,9
109,30890,15011,0.42,Advanced,No,7,4,Yes,6
110,12702,17625,0.84,Advanced,No,5,1,No,6
111,5672,20743,0.29,Basic,No,9,1,Yes,6
112,14053,22122,0.22,Advanced,No,1,4,No,9
113,39477,13691,0.71,Basic,No,0,2,Yes,8
114,49997,5134,0.47,Basic,Yes,9,2,No,1
115,47502,41691,0.63,Advanced,No,9,3,No,9
116,47986,23451,0.29,Intermediate,Yes,10,4,No,9
117,28977,42024,0.95,Basic,Yes,10,1,Yes,4
118,1091,14470,0.9,Intermediate,No,9,1,Yes,5
119,30071,35031,0.98,Intermediate,No,6,1,Yes,9
120,10977,8528,0.73,Advanced,No,5,4,No,8
121,1485,38006,0.54,Basic,Yes,9,5,No,10
122,38931,46657,0.55,Basic,No,3,5,Yes,8
123,19919,43930,0.94,Basic,Yes,5,3,No,7
124,5244,49452,0.17,Basic,No,8,3,Yes,9
125,42471,28985,0.37,Intermediate,No,8,2,Yes,2
126,46363,41033,0.16,Basic,No,0,3,No,6
127,21116,46886,1.0,Advanced,Yes,0,1,No,6
128,46950,13820,0.53,Advanced,Yes,7,4,Yes,7
129,35932,7388,0.86,Advanced,No,7,2,No,10
130,15186,17951,0.03,Intermediate,No,9,3,No,8
131,22631,45218,0.76,Basic,No,7,3,No,10
132,18794,26953,0.03,Intermediate,No,10,3,Yes,3
133,30180,8302,0.5,Advanced,No,3,1,Yes,5
134,33321,6409,0.66,Basic,No,9,5,No,5
135,38798,17999,0.86,Basic,No,10,3,No,6
136,22345,8101,0.12,Intermediate,Yes,9,2,Yes,3
137,1760,24336,0.38,Basic,No,5,1,No,4
138,21823,8213,0.81,Advanced,No,5,5,No,4
139,18514,30381,0.64,Basic,Yes,2,2,No,1
140,46975,29388,0.96,Intermediate,No,5,2,Yes,3
