config_id,role_id,skill_weight,experience_weight,keyword_weight,structure_weight,soft_skill_weight,industry_alignment_weight,version,last_updated
0,670,0.91,0.33,0.17,0.37,0.36,0.33,v1,2026-02-19
1,742,0.66,0.82,0.38,0.52,0.2,0.11,v1,2026-02-19
2,397,0.1,0.61,0.06,0.26,0.64,0.08,v1,2026-02-19
3,46,0.63,0.33,0.72,0.96,0.42,0.6,v1,2026-02-19
4,500,0.71,0.54,0.55,0.22,0.54,0.71,v1,2026-02-19
5,492,0.71,0.42,0.11,0.5,0.24,0.08,v1,2026-02-19
6,459,0.89,0.19,0.73,0.64,0.12,0.77,v1,2026-02-19
7,457,0.33,0.3,0.06,0.09,0.61,0.18,v1,2026-02-19
8,357,0.6,0.43,0.88,0.25,0.48,0.25,v1,2026-02-19
9,573,0.59,0.12,0.9,0.37,0.64,0.76,v1,2026-02-19
10,326,0.59,0.52,0.57,0.15,0.61,0.16,v1,2026-02-19
11,75,0.26,0.6,0.29,0.63,0.15,0.97,v1,2026-02-19
12,408,0.47,0.41,0.88,0.04,0.04,0.81,v1,2026-02-19
13,532,0.22,0.81,0.15,0.48,0.35,0.16,v1,2026-02-19
14,549,0.95,0.21,0.19,0.77,0.29,0.13,v1,2026-02-19
15,506,0.49,0.55,0.48,0.82,0.84,0.4,v1,2026-02-19
16,327,0.97,0.3,0.41,0.28,0.65,0.64,v1,2026-02-19
17,72,0.76,0.72,0.76,0.23,0.0,0.13,v1,2026-02-19
18,321,0.01,0.67,0.08,0.07,0.86,0.75,v1,2026-02-19
19,759,0.85,0.04,0.58,0.69,0.4,0.64,v1,2026-02-19
20,114,0.77,0.11,0.41,0.66,0.74,0.85,v1,2026-02-19
21,732,1.0,0.44,0.97,0.39,0.28,0.66,v1,2026-02-19
22,310,0.19,0.01,0.94,0.16,0.17,0.93,v1,2026-02-19
23,144,0.57,0.33,0.62,0.83,0.09,0.04,v1,2026-02-19
24,810,0.9,0.64,0.48,0.5,0.82,0.21,v1,2026-02-19
25,679,0.02,0.34,0.41,0.35,0.97,0.98,v1,2026-02-19
26,802,0.22,0.89,0.99,0.24,0.5,0.73,v1,2026-02-19
27,404,0.01,0.66,0.36,0.09,0.29,0.68,v1,2026-02-19
28,454,0.36,0.11,0.72,0.6,0.4,0.47,v1,2026-02-19
29,191,0.9,0.81,0.13,0.14,0.54,0.26,v1,2026-02-19
30,599,0.4,0.36,0.56,0.12,0.84,0.54,v1,2026-02-19
31,507,0.03,0.09,0.02,0.23,0.53,0.28,v1,2026-02-19
32,435,0.82,0.68,0.33,0.73,0.07,0.08,v1,2026-02-19
33,814,0.3,0.73,0.68,0.95,0.99,0.19,v1,2026-02-19
34,220,0.03,0.01,0.5,0.98,0.9,0.95,v1,2026-02-19
35,995,0.51,0.94,0.46,0.45,0.69,0.27,v1,2026-02-19
36,263,0.29,0.35,0.88,0.64,0.86,0.89,v1,2026-02-19
37,37,0.82,0.79,0.22,0.18,0.15,0.67,v1,2026-02-19
38,453,0.78,0.9,0.67,0.54,0.05,0.91,v1,2026-02-19
39,997,0.13,0.58,0.53,0.89,0.34,0.14,v1,2026-02-19
40,668,0.12,0.9,0.9,0.68,0.04,0.95,v1,2026-02-19
41,387,0.44,0.68,0.87,0.54,0.5,0.1,v1,2026-02-19
42,69,0.48,0.79,0.21,0.39,0.92,0.9,v1,2026-02-19
43,829,0.75,0.06,0.92,0.37,0.23,0.27,v1,2026-02-19
44,386,0.96,0.28,0.05,0.62,0.29,0.06,v1,2026-02-19
45,189,0.18,0.54,0.97,0.29,0.31,0.48,v1,2026-02-19
46,732,0.11,0.33,0.57,0.22,0.93,0.84,v1,2026-02-19
47,392,0.48,0.25,0.6,0.9,0.99,0.55,v1,2026-02-19
48,8,0.31,0.81,0.6,0.98,0.45,0.75,v1,2026-02-19
49,523,0.32,0.12,0.1,0.68,0.99,0.56,v1,2026-02-19
50,219,0.48,0.05,0.82,0.24,0.72,0.08,v1,2026-02-19
51,264,0.87,0.51,0.78,0.15,0.63,0.64,v1,2026-02-19
52,35,0.07,0.76,0.25,0.98,0.81,0.65,v1,2026-02-19
53,694,0.29,0.34,0.97,0.11,0.88,0.58,v1,2026-02-19
54,320,0.72,0.08,0.16,0.53,0.28,0.14,v1,2026-02-19
55,306,0.3,0.88,0.89,0.62,0.07,0.06,v1,2026-02-19
56,540,0.98,0.57,0.94,0.44,0.91,0.57,v1,2026-02-19
57,997,0.26,0.69,0.65,0.75,0.88,0.4,v1,2026-02-19
58,78,0.39,0.79,0.01,0.69,0.76,0.39,v1,2026-02-19
59,90,0.08,0.94,0.73,0.36,0.02,0.6,v1,2026-02-19
60,378,0.33,0.22,0.4,0.42,0.05,0.29,v1,2026-02-19
61,520,0.4,0.55,0.73,0.07,0.68,0.4,v1,2026-02-19
62,525,0.81,0.64,0.49,0.16,0.16,0.84,v1,2026-02-19
63,591,0.33,0.21,0.71,0.51,0.88,0.99,v1,2026-02-19
64,642,0.73,0.99,0.77,0.39,0.49,0.78,v1,2026-02-19
65,776,0.04,0.83,0.8,0.14,0.35,0.14,v1,2026-02-19
66,560,0.54,0.71,0.92,0.94,0.42,0.57,v1,2026-02-19
67,94,0.72,0.98,0.92,0.92,0.33,0.92,v1,2026-02-19
68,957,0.68,0.4,0.69,0.9,0.09,0.09,v1,2026-02-19
69,52,0.16,0.27,0.64,0.51,0.13,0.28,v1,2026-02-19
70,866,0.45,0.04,0.95,0.04,0.8,0.4,v1,2026-02-19
71,563,0.27,0.47,0.13,0.98,0.71,0.28,v1,2026-02-19
72,187,0.78,0.73,0.57,0.98,0.59,0.31,v1,2026-02-19
73,461,0.53,0.88,0.82,0.03,0.38,0.53,v1,2026-02-19
74,800,0.44,0.28,0.47,0.53,0.51,0.23,v1,2026-02-19
75,635,0.81,0.4,0.86,0.8,0.1,0.12,v1,2026-02-19
76,657,0.1,0.11,0.03,0.03,0.61,0.44,v1,2026-02-19
77,651,0.75,0.74,0.55,0.67,0.17,0.34,v1,2026-02-19
78,738,0.51,0.83,0.22,0.63,0.33,0.54,v1,2026-02-19
79,275,0.39,0.77,0.17,0.76,0.13,0.19,v1,2026-02-19
80,79,0.78,0.53,0.25,0.69,0.25,0.62,v1,2026-02-19
81,432,0.63,0.61,0.51,0.35,0.72,0.7,v1,2026-02-19
82,244,0.47,0.44,0.46,0.9,0.34,0.3,v1,2026-02-19
83,484,0.31,0.62,0.84,0.4,0.99,0.15,v1,2026-02-19
84,736,0.88,0.28,0.53,0.82,0.46,0.73,v1,2026-02-19
85,22,0.53,0.66,0.54,0.24,0.94,0.46,v1,2026-02-19
86,108,0.15,0.93,0.54,0.26,0.6,0.68,v1,2026-02-19
87,662,0.53,0.63,0.23,0.97,0.36,0.98,v1,2026-02-19
88,645,0.38,0.06,0.17,0.99,0.94,0.36,v1,2026-02-19
89,421,0.52,0.27,0.19,0.06,0.85,0.59,v1,2026-02-19
90,327,0.62,0.2,0.44,0.42,0.61,0.68,v1,2026-02-19
91,133,0.57,0.3,0.53,0.33,0.59,0.09,v1,2026-02-19
92,112,0.57,0.14,0.74,0.7,0.33,0.15,v1,2026-02-19
93,33,0.09,0.57,0.17,0.75,0.22,0.76,v1,2026-02-19
94,941,0.83,0.8,0.15,0.07,0.33,0.36,v1,2026-02-19
95,536,0.62,0.58,0.98,0.66,0.82,0.99,v1,2026-02-19
96,94,0.17,0.74,0.87,0.79,0.84,0.65,v1,2026-02-19
97,712,0.8,0.15,0.8,0.61,0.68,0.58,v1,2026-02-19
98,869,0.4,0.9,0.34,0.72,0.44,0.9,v1,2026-02-19
99,337,0.36,0.17,0.8,0.71,0.67,0.38,v1,2026-02-19
100,119,0.07,0.4,0.73,0.5,0.24,0.8,v1,2026-02-19
101,116,0.05,0.94,0.58,0.25,0.48,0.51,v1,2026-02-19
102,625,0.0,0.37,0.76,0.42,0.63,0.85,v1,2026-02-19
103,758,0.04,0.62,0.11,0.31,0.61,0.21,v1,2026-02-19
104,240,0.56,0.21,0.56,0.91,0.35,0.08,v1,2026-02-19
105,312,0.59,0.06,0.56,0.72,0.47,0.58,v1,2026-02-19
106,961,0.93,0.44,0.54,0.11,0.1,0.24,v1,2026-02-19
107,826,0.8,0.89,0.36,0.74,0.24,0.49,v1,2026-02-19
108,139,0.95,0.53,0.95,0.43,0.11,0.83,v1,2026-02-19
109,936,0.18,0.68,0.14,0.3,0.1,0.99,v1,2026-02-19
110,361,0.09,0.42,0.36,0.43,0.58,0.55,v1,2026-02-19
111,189,0.85,0.31,0.29,0.69,0.9,0.18,v1,2026-02-19
112,824,0.37,0.82,0.56,0.67,0.28,0.3,v1,2026-02-19
113,839,0.35,0.6,0.14,0.19,0.45,0.5,v1,2026-02-19
114,924,0.21,0.69,0.84,0.9,0.83,0.17,v1,2026-02-19
115,748,0.43,0.55,0.04,0.87,0.01,0.29,v1,2026-02-19
116,584,0.78,0.27,0.28,0.08,0.16,0.31,v1,2026-02-19
117,381,0.81,0.22,0.7,1.0,0.39,0.64,v1,2026-02-19
118,306,0.09,0.72,0.29,0.27,0.77,0.25,v1,2026-02-19
119,869,0.14,0.77,0.1,0.08,0.79,0.47,v1,2026-02-19
120,998,0.39,0.55,0.3,0.43,0.97,0.4,v1,2026-02-19
121,319,0.69,0.98,0.02,0.29,0.1,1.0,v1,2026-02-19
122,397,0.38,0.6,0.14,0.23,0.15,0.11,v1,2026-02-19
123,725,0.4,0.99,0.67,0.01,0.02,0.12,v1,2026-02-19
124,525,0.98,0.44,0.02,0.14,0.53,0.86,v1,2026-02-19
125,677,0.9,0.78,0.47,0.01,0.53,0.89,v1,2026-02-19
126,649,0.94,0.59,0.87,0.62,0.91,0.32,v1,2026-02-19
127,484,0.42,0.76,0.18,0.98,0.2,0.45,v1,2026-02-19
128,506,0.88,0.93,0.32,0.8,0.62,0.81,v1,2026-02-19
129,59,0.83,0.95,0.75,0.76,0.01,0.2,v1,2026-02-19
130,476,0.17,0.38,0.67,0.75,0.49,0.86,v1,2026-02-19
131,550,0.53,0.61,0.05,0.35,0.88,0.85,v1,2026-02-19
132,711,0.58,0.28,0.68,0.99,0.97,0.15,v1,2026-02-19
133,643,0.41,0.89,0.6,0.38,0.16,0.54,v1,2026-02-19
134,188,0.56,0.64,0.56,0.24,0.62,0.84,v1,2026-02-19
135,766,0.63,0.99,0.7,0.29,0.76,0.8,v1,2026-02-19
136,613,0.48,0.94,0.71,0.37,0.27,0.08,v1,2026-02-19
137,604,0.89,0.42,0.98,0.67,0.52,0.89,v1,2026-02-19
138,267,0.75,0.31,0.18,0.1,0.42,0.81,v1,2026-02-19
139,448,0.68,0.29,0.08,0.02,0.35,0.75,v1,2026-02-19
140,842,0.41,0.86,0.63,0.44,0.05,0.37,v1,2026-02-19
141,383,0.44,0.86,0.08,0.0,0.37,0.36,v1,2026-02-19
142,433,0.53,0.04,0.87,0.79,0.85,0.32,v1,2026-02-19
143,564,0.42,0.18,0.41,0.41,0.61,0.01,v1,2026-02-19
144,869,0.11,0.42,0.0,0.8,0.36,0.75,v1,2026-02-19
145,311,0.07,0.8,0.76,0.03,0.57,0.83,v1,2026-02-19
146,980,0.9,0.87,0.46,0.5,0.84,0.63,v1,2026-02-19
147,739,0.74,0.17,0.78,0.85,0.96,0.26,v1,2026-02-19
148,747,0.81,0.05,0.01,0.74,0.74,0.79,v1,2026-02-19
149,82,0.09,0.87,0.68,0.53,0.5,0.54,v1,2026-02-19
150,891,0.78,0.21,0.58,0.64,0.6,0.37,v1,2026-02-19
151,117,0.82,0.77,0.16,0.01,0.03,0.34,v1,2026-02-19
152,377,0.0,0.46,0.77,0.64,0.81,0.2,v1,2026-02-19
153,363,0.8,0.95,0.21,0.22,0.01,0.26,v1,2026-02-19
154,214,0.84,0.86,0.07,0.28,0.5,0.63,v1,2026-02-19
155,186,0.73,0.91,0.24,0.37,0.06,0.96,v1,2026-02-19
156,555,0.65,0.24,0.37,0.96,0.13,0.54,v1,2026-02-19
157,568,0.8,0.84,0.42,0.87,0.57,0.48,v1,2026-02-19
158,437,0.42,0.14,0.65,0.97,0.31,0.3,v1,2026-02-19
159,515,0.24,0.56,0.46,0.49,0.36,0.25,v1,2026-02-19
160,97,0.67,0.11,0.95,0.4,0.76,0.15,v1,2026-02-19
161,816,0.66,0.95,0.8,0.97,0.35,0.99,v1,2026-02-19
162,61,0.97,0.94,0.01,0.84,0.02,0.35,v1,2026-02-19
163,288,0.46,0.1,0.69,0.23,0.54,0.58,v1,2026-02-19
164,213,0.02,0.64,0.92,0.54,0.37,0.53,v1,2026-02-19
