trend_id,skill_id,year,quarter,global_job_postings_count,india_job_postings_count,salary_average,growth_rate_percent,demand_score_normalized,industry_sector,source
0,601,2025,1,38130,28994,1137376,12.58,0.64,IT,LinkedIn
1,545,2020,4,17599,17398,1802752,6.94,0.82,IT,LinkedIn
2,713,2024,3,35957,15058,2010318,14.73,0.51,IT,LinkedIn
3,444,2025,3,16145,28854,579817,11.81,0.6,IT,LinkedIn
4,296,2021,4,30142,22295,1367258,15.92,0.15,IT,LinkedIn
5,49,2019,4,41034,820,1833259,11.28,0.4,IT,LinkedIn
6,661,2020,2,21640,5882,1690885,18.62,0.23,IT,LinkedIn
7,94,2020,3,28980,15755,2049213,-4.71,0.71,IT,LinkedIn
8,781,2022,3,27117,2010,1417754,-3.4,0.13,IT,LinkedIn
9,83,2024,1,7841,3753,834403,5.48,0.03,IT,LinkedIn
10,614,2025,2,16797,23944,1456240,-1.89,0.65,IT,LinkedIn
11,661,2019,3,32891,10244,1892585,7.2,0.64,IT,LinkedIn
12,185,2025,4,956,26433,2216614,5.46,0.96,IT,LinkedIn
13,898,2022,1,46453,7998,2061906,20.73,0.38,IT,LinkedIn
14,476,2019,1,22930,16917,2297634,23.63,0.7,IT,LinkedIn
15,245,2025,1,25063,14044,672207,10.27,0.09,IT,LinkedIn
16,194,2019,1,36228,1447,1871876,24.44,0.1,IT,LinkedIn
17,438,2020,3,45992,27394,794054,-2.65,0.61,IT,LinkedIn
18,947,2022,2,5208,23879,1615898,9.53,0.09,IT,LinkedIn
19,239,2021,4,1814,20134,1480302,4.81,0.19,IT,LinkedIn
20,705,2022,2,15115,26490,1253284,6.37,0.46,IT,LinkedIn
21,979,2025,2,23450,3644,1831610,0.95,0.33,IT,LinkedIn
22,219,2019,1,16118,1208,1871714,10.9,0.38,IT,LinkedIn
23,380,2025,1,28408,11827,1068144,23.94,0.1,IT,LinkedIn
24,900,2022,4,45485,23813,520581,-3.28,0.65,IT,LinkedIn
25,264,2025,1,21591,17580,568770,13.92,0.37,IT,LinkedIn
26,766,2021,1,5330,13514,822077,20.45,0.93,IT,LinkedIn
27,507,2022,2,6202,26740,805870,20.48,0.02,IT,LinkedIn
28,473,2022,4,29491,15261,2012626,19.53,0.41,IT,LinkedIn
29,311,2025,2,32759,8018,1218307,18.98,0.7,IT,LinkedIn
30,255,2022,2,24564,3302,2167581,12.78,0.03,IT,LinkedIn
31,153,2021,3,21707,25879,426445,4.82,0.04,IT,LinkedIn
32,582,2021,2,13997,10634,2369768,13.22,0.97,IT,LinkedIn
33,87,2024,2,39241,17982,2281140,12.91,0.63,IT,LinkedIn
34,862,2024,3,26693,28669,2343639,-2.02,0.88,IT,LinkedIn
35,461,2023,4,6105,25840,2410040,21.69,0.98,IT,LinkedIn
36,594,2023,4,30409,14178,2117317,-4.54,0.51,IT,LinkedIn
37,839,2023,1,35645,16713,725005,19.18,0.01,IT,LinkedIn
38,17,2024,3,8194,18212,1682087,21.97,0.18,IT,LinkedIn
39,101,2022,1,34839,28579,668590,-4.86,0.89,IT,LinkedIn
40,5,2019,2,7583,18365,927326,21.8,0.2,IT,LinkedIn
41,309,2020,4,2396,14038,1450244,18.68,0.66,IT,LinkedIn
42,753,2023,4,41437,4117,1502899,10.71,0.48,IT,LinkedIn
43,194,2020,4,31076,28851,1664571,16.99,0.05,IT,LinkedIn
44,221,2023,4,25054,24985,405385,19.61,0.94,IT,LinkedIn
45,241,2020,4,2815,3822,1429995,13.57,0.74,IT,LinkedIn
46,888,2021,2,49380,6387,839685,11.49,0.52,IT,LinkedIn
47,805,2021,3,29057,13503,1552664,16.33,0.06,IT,LinkedIn
48,302,2025,1,45989,16093,2405233,10.98,0.54,IT,LinkedIn
49,134,2022,3,5549,28382,943853,15.34,0.98,IT,LinkedIn
50,894,2023,1,45240,28213,503451,-1.2,0.18,IT,LinkedIn
51,584,2019,4,1168,11442,1827109,16.82,0.36,IT,LinkedIn
52,985,2025,2,6258,10064,1745480,17.39,0.85,IT,LinkedIn
53,609,2024,1,38459,10888,1580775,0.27,0.19,IT,LinkedIn
54,123,2024,3,21151,2561,493351,2.58,0.19,IT,LinkedIn
55,290,2023,4,27747,9903,1886848,10.3,0.67,IT,LinkedIn
56,496,2021,3,14593,27426,627816,17.84,0.63,IT,LinkedIn
57,84,2019,3,32429,2286,633364,14.81,0.74,IT,LinkedIn
58,829,2020,1,25658,17237,939262,19.03,0.34,IT,LinkedIn
59,485,2021,3,33074,15055,546601,6.87,0.24,IT,LinkedIn
60,550,2020,3,19709,14907,1545663,18.9,0.1,IT,LinkedIn
61,406,2019,1,1300,25532,1845413,5.16,0.78,IT,LinkedIn
62,725,2022,2,10415,21845,2442758,15.57,0.25,IT,LinkedIn
63,851,2025,3,25392,28593,1846836,9.32,0.31,IT,LinkedIn
64,893,2019,3,28539,27965,1119745,14.93,0.74,IT,LinkedIn
65,922,2025,2,17946,9752,1234582,24.2,0.65,IT,LinkedIn
66,938,2020,2,11151,4373,2216692,24.02,0.71,IT,LinkedIn
67,156,2020,3,38557,1167,927321,14.33,0.09,IT,LinkedIn
68,868,2021,4,15091,20475,949224,5.46,0.98,IT,LinkedIn
