synonym_id,original_term,normalized_skill_name,synonym_type,confidence_score,language,region
0,SQL,sql,abbreviation,0.84,English,Global
1,MongoDB,mongodb,abbreviation,0.92,English,Global
2,AWS,aws,abbreviation,0.78,English,Global
3,Spring Boot,spring boot,abbreviation,0.81,English,Global
4,TensorFlow,tensorflow,abbreviation,0.77,English,Global
5,REST API,rest api,abbreviation,0.73,English,Global
6,Azure,azure,abbreviation,0.85,English,Global
7,Kubernetes,kubernetes,abbreviation,0.89,English,Global
8,Node.js,node.js,abbreviation,0.91,English,Global
9,Time Management,time management,abbreviation,0.78,English,Global
10,Angular,angular,abbreviation,0.89,English,Global
11,Angular,angular,abbreviation,0.91,English,Global
12,Data Structures,data structures,abbreviation,0.75,English,Global
13,Spring Boot,spring boot,abbreviation,0.72,English,Global
14,Communication,communication,abbreviation,0.76,English,Global
15,Git,git,abbreviation,0.82,English,Global
16,TensorFlow,tensorflow,abbreviation,0.85,English,Global
17,MongoDB,mongodb,abbreviation,0.84,English,Global
18,PyTorch,pytorch,abbreviation,0.86,English,Global
19,Time Management,time management,abbreviation,0.82,English,Global
20,Leadership,leadership,abbreviation,0.71,English,Global
21,AWS,aws,abbreviation,0.81,English,Global
22,Azure,azure,abbreviation,0.85,English,Global
23,AWS,aws,abbreviation,0.7,English,Global
24,SQL,sql,abbreviation,0.98,English,Global
25,REST API,rest api,abbreviation,0.83,English,Global
26,AWS,aws,abbreviation,0.72,English,Global
27,SQL,sql,abbreviation,0.94,English,Global
28,Communication,communication,abbreviation,0.97,English,Global
29,Angular,angular,abbreviation,0.87,English,Global
30,Kubernetes,kubernetes,abbreviation,0.76,English,Global
31,Python,python,abbreviation,0.82,English,Global
32,Azure,azure,abbreviation,0.74,English,Global
33,Communication,communication,abbreviation,0.79,English,Global
34,Angular,angular,abbreviation,0.73,English,Global
35,Java,java,abbreviation,0.77,English,Global
36,AWS,aws,abbreviation,0.87,English,Global
37,TensorFlow,tensorflow,abbreviation,0.72,English,Global
38,Kubernetes,kubernetes,abbreviation,0.82,English,Global
39,REST API,rest api,abbreviation,0.73,English,Global
40,PyTorch,pytorch,abbreviation,0.98,English,Global
41,React,react,abbreviation,0.94,English,Global
42,Angular,angular,abbreviation,0.73,English,Global
43,Java,java,abbreviation,0.81,English,Global
44,Data Structures,data structures,abbreviation,0.97,English,Global
45,GCP,gcp,abbreviation,0.89,English,Global
46,SQL,sql,abbreviation,0.79,English,Global
47,Python,python,abbreviation,0.86,English,Global
48,Java,java,abbreviation,0.75,English,Global
49,SQL,sql,abbreviation,0.97,English,Global
50,Communication,communication,abbreviation,0.93,English,Global
51,GCP,gcp,abbreviation,0.82,English,Global
52,Leadership,leadership,abbreviation,0.97,English,Global
53,PyTorch,pytorch,abbreviation,0.9,English,Global
54,Docker,docker,abbreviation,0.87,English,Global
55,Spring Boot,spring boot,abbreviation,0.76,English,Global
56,Git,git,abbreviation,0.75,English,Global
57,PyTorch,pytorch,abbreviation,0.77,English,Global
58,Azure,azure,abbreviation,0.9,English,Global
59,PyTorch,pytorch,abbreviation,0.87,English,Global
60,Leadership,leadership,abbreviation,0.96,English,Global
61,Problem Solving,problem solving,abbreviation,0.74,English,Global
62,Data Structures,data structures,abbreviation,0.77,English,Global
63,GCP,gcp,abbreviation,0.95,English,Global
64,Data Structures,data structures,abbreviation,0.93,English,Global
65,Angular,angular,abbreviation,0.77,English,Global
66,Node.js,node.js,abbreviation,0.98,English,Global
67,PyTorch,pytorch,abbreviation,0.71,English,Global
68,TensorFlow,tensorflow,abbreviation,0.92,English,Global
69,MongoDB,mongodb,abbreviation,0.8,English,Global
70,Java,java,abbreviation,0.76,English,Global
71,REST API,rest api,abbreviation,0.79,English,Global
72,Spring Boot,spring boot,abbreviation,0.83,English,Global
73,Java,java,abbreviation,0.7,English,Global
74,Algorithms,algorithms,abbreviation,0.91,English,Global
75,SQL,sql,abbreviation,0.76,English,Global
76,TensorFlow,tensorflow,abbreviation,0.7,English,Global
77,Spring Boot,spring boot,abbreviation,0.87,English,Global
78,Spring Boot,spring boot,abbreviation,0.88,English,Global
79,Algorithms,algorithms,abbreviation,0.74,English,Global
80,Python,python,abbreviation,0.96,English,Global
81,Leadership,leadership,abbreviation,0.95,English,Global
82,Azure,azure,abbreviation,0.83,English,Global
83,Python,python,abbreviation,0.95,English,Global
84,React,react,abbreviation,0.96,English,Global
85,Angular,angular,abbreviation,0.98,English,Global
86,AWS,aws,abbreviation,0.75,English,Global
87,MongoDB,mongodb,abbreviation,0.95,English,Global
88,MongoDB,mongodb,abbreviation,0.85,English,Global
89,AWS,aws,abbreviation,0.87,English,Global
90,Kubernetes,kubernetes,abbreviation,0.74,English,Global
91,Java,java,abbreviation,0.72,English,Global
92,TensorFlow,tensorflow,abbreviation,0.88,English,Global
93,AWS,aws,abbreviation,0.74,English,Global
94,TensorFlow,tensorflow,abbreviation,0.72,English,Global
95,Docker,docker,abbreviation,0.79,English,Global
96,Spring Boot,spring boot,abbreviation,0.93,English,Global
97,Communication,communication,abbreviation,0.87,English,Global
98,Leadership,leadership,abbreviation,0.83,English,Global
99,Leadership,leadership,abbreviation,0.96,English,Global
100,TensorFlow,tensorflow,abbreviation,0.74,English,Global
101,Problem Solving,problem solving,abbreviation,0.96,English,Global
102,Spring Boot,spring boot,abbreviation,0.86,English,Global
103,Algorithms,algorithms,abbreviation,0.95,English,Global
104,Java,java,abbreviation,0.88,English,Global
105,Time Management,time management,abbreviation,0.73,English,Global
106,Git,git,abbreviation,0.88,English,Global
107,Algorithms,algorithms,abbreviation,0.83,English,Global
108,Kubernetes,kubernetes,abbreviation,0.85,English,Global
109,Leadership,leadership,abbreviation,0.85,English,Global
110,Microservices,microservices,abbreviation,0.7,English,Global
111,Kubernetes,kubernetes,abbreviation,0.9,English,Global
112,Angular,angular,abbreviation,0.8,English,Global
113,Microservices,microservices,abbreviation,0.85,English,Global
114,Angular,angular,abbreviation,0.98,English,Global
115,TensorFlow,tensorflow,abbreviation,0.86,English,Global
116,Spring Boot,spring boot,abbreviation,0.9,English,Global
117,Leadership,leadership,abbreviation,0.86,English,Global
118,MongoDB,mongodb,abbreviation,0.71,English,Global
119,Microservices,microservices,abbreviation,0.76,English,Global
120,Python,python,abbreviation,0.72,English,Global
121,Problem Solving,problem solving,abbreviation,0.74,English,Global
122,Docker,docker,abbreviation,0.89,English,Global
123,Spring Boot,spring boot,abbreviation,0.93,English,Global
124,REST API,rest api,abbreviation,0.85,English,Global
125,PyTorch,pytorch,abbreviation,0.96,English,Global
126,GCP,gcp,abbreviation,0.83,English,Global
127,SQL,sql,abbreviation,0.9,English,Global
128,Spring Boot,spring boot,abbreviation,0.78,English,Global
129,Angular,angular,abbreviation,0.83,English,Global
130,Azure,azure,abbreviation,0.86,English,Global
131,SQL,sql,abbreviation,0.92,English,Global
132,SQL,sql,abbreviation,0.95,English,Global
133,Git,git,abbreviation,0.72,English,Global
134,Spring Boot,spring boot,abbreviation,0.91,English,Global
135,Angular,angular,abbreviation,0.88,English,Global
136,AWS,aws,abbreviation,0.82,English,Global
137,Kubernetes,kubernetes,abbreviation,0.72,English,Global
138,Problem Solving,problem solving,abbreviation,0.77,English,Global
139,Node.js,node.js,abbreviation,0.82,English,Global
140,React,react,abbreviation,0.75,English,Global
141,Kubernetes,kubernetes,abbreviation,0.84,English,Global
142,TensorFlow,tensorflow,abbreviation,0.75,English,Global
143,Angular,angular,abbreviation,0.72,English,Global
144,Kubernetes,kubernetes,abbreviation,0.76,English,Global
145,Time Management,time management,abbreviation,0.82,English,Global
146,React,react,abbreviation,0.98,English,Global
147,Data Structures,data structures,abbreviation,0.95,English,Global
148,Kubernetes,kubernetes,abbreviation,0.74,English,Global
149,Algorithms,algorithms,abbreviation,0.9,English,Global
150,Kubernetes,kubernetes,abbreviation,0.8,English,Global
151,Problem Solving,problem solving,abbreviation,0.79,English,Global
152,Git,git,abbreviation,0.9,English,Global
153,Algorithms,algorithms,abbreviation,0.73,English,Global
154,TensorFlow,tensorflow,abbreviation,0.99,English,Global
155,Microservices,microservices,abbreviation,0.8,English,Global
156,Communication,communication,abbreviation,0.78,English,Global
157,SQL,sql,abbreviation,0.85,English,Global
158,MongoDB,mongodb,abbreviation,0.7,English,Global
159,Microservices,microservices,abbreviation,0.9,English,Global
160,Git,git,abbreviation,0.95,English,Global
161,Microservices,microservices,abbreviation,0.77,English,Global
162,Communication,communication,abbreviation,0.77,English,Global
163,TensorFlow,tensorflow,abbreviation,0.89,English,Global
164,Azure,azure,abbreviation,0.76,English,Global
165,Problem Solving,problem solving,abbreviation,0.84,English,Global
166,REST API,rest api,abbreviation,0.89,English,Global
167,React,react,abbreviation,0.78,English,Global
168,SQL,sql,abbreviation,0.92,English,Global
169,MongoDB,mongodb,abbreviation,0.73,English,Global
170,Algorithms,algorithms,abbreviation,0.96,English,Global
171,MongoDB,mongodb,abbreviation,0.92,English,Global
172,React,react,abbreviation,0.98,English,Global
173,Spring Boot,spring boot,abbreviation,0.78,English,Global
174,Microservices,microservices,abbreviation,0.93,English,Global
175,TensorFlow,tensorflow,abbreviation,0.86,English,Global
176,Microservices,microservices,abbreviation,0.96,English,Global
177,Data Structures,data structures,abbreviation,0.91,English,Global
178,Leadership,leadership,abbreviation,0.87,English,Global
179,Azure,azure,abbreviation,0.79,English,Global
180,Node.js,node.js,abbreviation,0.93,English,Global
181,PyTorch,pytorch,abbreviation,0.9,English,Global
182,Azure,azure,abbreviation,0.96,English,Global
183,Time Management,time management,abbreviation,0.83,English,Global
184,Node.js,node.js,abbreviation,0.75,English,Global
185,Docker,docker,abbreviation,0.81,English,Global
186,Leadership,leadership,abbreviation,0.98,English,Global
187,Spring Boot,spring boot,abbreviation,0.73,English,Global
188,GCP,gcp,abbreviation,0.8,English,Global
189,SQL,sql,abbreviation,0.93,English,Global
190,Docker,docker,abbreviation,0.94,English,Global
191,Kubernetes,kubernetes,abbreviation,0.9,English,Global
192,Python,python,abbreviation,0.86,English,Global
193,Leadership,leadership,abbreviation,0.82,English,Global
194,Docker,docker,abbreviation,0.73,English,Global
195,Time Management,time management,abbreviation,0.96,English,Global
196,Problem Solving,problem solving,abbreviation,0.84,English,Global
197,Problem Solving,problem solving,abbreviation,0.95,English,Global
198,AWS,aws,abbreviation,0.94,English,Global
199,AWS,aws,abbreviation,0.92,English,Global
200,PyTorch,pytorch,abbreviation,0.98,English,Global
201,Angular,angular,abbreviation,0.96,English,Global
202,Kubernetes,kubernetes,abbreviation,0.82,English,Global
203,Node.js,node.js,abbreviation,0.71,English,Global
204,MongoDB,mongodb,abbreviation,0.86,English,Global
205,Java,java,abbreviation,0.76,English,Global
206,PyTorch,pytorch,abbreviation,0.87,English,Global
207,PyTorch,pytorch,abbreviation,0.81,English,Global
208,TensorFlow,tensorflow,abbreviation,0.77,English,Global
209,AWS,aws,abbreviation,0.71,English,Global
210,Communication,communication,abbreviation,0.74,English,Global
211,Git,git,abbreviation,0.78,English,Global
212,REST API,rest api,abbreviation,0.9,English,Global
213,Git,git,abbreviation,0.99,English,Global
214,GCP,gcp,abbreviation,0.75,English,Global
215,Node.js,node.js,abbreviation,0.95,English,Global
216,PyTorch,pytorch,abbreviation,0.81,English,Global
217,TensorFlow,tensorflow,abbreviation,0.92,English,Global
218,Azure,azure,abbreviation,0.84,English,Global
219,Python,python,abbreviation,0.8,English,Global
220,Communication,communication,abbreviation,0.95,English,Global
221,Python,python,abbreviation,0.82,English,Global
222,PyTorch,pytorch,abbreviation,0.89,English,Global
223,Python,python,abbreviation,0.89,English,Global
224,Data Structures,data structures,abbreviation,0.74,English,Global
225,Spring Boot,spring boot,abbreviation,0.8,English,Global
226,Leadership,leadership,abbreviation,0.89,English,Global
227,Spring Boot,spring boot,abbreviation,0.87,English,Global
228,Git,git,abbreviation,0.98,English,Global
229,Leadership,leadership,abbreviation,0.92,English,Global
230,PyTorch,pytorch,abbreviation,0.8,English,Global
231,Git,git,abbreviation,0.87,English,Global
232,Angular,angular,abbreviation,0.97,English,Global
233,Spring Boot,spring boot,abbreviation,0.75,English,Global
234,Python,python,abbreviation,0.75,English,Global
235,Problem Solving,problem solving,abbreviation,0.72,English,Global
236,React,react,abbreviation,0.74,English,Global
237,Problem Solving,problem solving,abbreviation,0.93,English,Global
238,React,react,abbreviation,0.79,English,Global
239,Git,git,abbreviation,0.93,English,Global
240,Time Management,time management,abbreviation,0.81,English,Global
241,Angular,angular,abbreviation,0.92,English,Global
