indicator_id,phrase_pattern,soft_skill_type,weight,polarity,confidence_score
0,managed deadlines,Adaptability,0.04,negative,0.71
1,managed deadlines,Problem Solving,0.47,negative,0.96
2,communicated effectively,Problem Solving,0.27,positive,0.87
3,communicated effectively,Adaptability,0.7,negative,0.67
4,managed deadlines,Problem Solving,0.25,negative,0.78
5,managed deadlines,Problem Solving,0.97,negative,0.86
6,communicated effectively,Communication,0.6,negative,0.72
7,collaborated with team,Teamwork,0.03,negative,0.97
8,handled pressure,Teamwork,0.3,positive,0.7
9,collaborated with team,Adaptability,0.65,positive,0.78
10,handled pressure,Adaptability,0.96,positive,0.93
11,communicated effectively,Adaptability,0.74,negative,0.92
12,communicated effectively,Problem Solving,0.07,positive,0.61
13,managed deadlines,Problem Solving,0.41,negative,0.61
14,communicated effectively,Leadership,0.51,positive,0.6
15,handled pressure,Problem Solving,0.24,negative,0.83
16,managed deadlines,Leadership,0.09,positive,0.99
17,handled pressure,Communication,0.48,negative,0.75
18,collaborated with team,Teamwork,0.68,negative,0.97
19,resolved conflicts,Teamwork,0.67,positive,0.71
20,managed deadlines,Teamwork,0.76,positive,0.97
21,communicated effectively,Leadership,0.19,negative,0.78
22,collaborated with team,Problem Solving,0.75,negative,0.84
23,handled pressure,Adaptability,0.89,negative,0.79
24,handled pressure,Problem Solving,0.8,negative,0.93
25,collaborated with team,Adaptability,0.02,positive,0.96
26,communicated effectively,Teamwork,0.15,negative,0.79
27,handled pressure,Problem Solving,0.3,negative,0.65
28,handled pressure,Communication,0.68,positive,0.96
29,handled pressure,Leadership,0.88,positive,0.82
30,managed deadlines,Teamwork,0.52,negative,0.78
31,resolved conflicts,Communication,0.91,negative,0.62
32,resolved conflicts,Adaptability,0.2,negative,0.71
33,managed deadlines,Leadership,0.28,positive,0.7
34,managed deadlines,Leadership,0.04,positive,0.67
35,resolved conflicts,Communication,0.28,positive,0.71
36,managed deadlines,Leadership,0.31,negative,0.82
37,resolved conflicts,Leadership,0.76,negative,0.7
38,collaborated with team,Problem Solving,0.48,negative,0.89
39,collaborated with team,Teamwork,0.04,negative,0.74
40,communicated effectively,Communication,0.33,positive,0.66
41,communicated effectively,Teamwork,0.93,negative,0.66
42,handled pressure,Leadership,0.72,positive,0.78
43,communicated effectively,Teamwork,0.91,negative,0.87
44,communicated effectively,Communication,0.52,positive,0.9
45,communicated effectively,Communication,0.91,negative,0.93
46,collaborated with team,Leadership,0.63,negative,0.7
47,communicated effectively,Communication,0.58,negative,0.6
48,resolved conflicts,Teamwork,0.81,negative,0.72
49,resolved conflicts,Leadership,0.08,negative,0.84
50,managed deadlines,Leadership,0.16,positive,0.74
51,resolved conflicts,Adaptability,0.98,negative,0.78
52,communicated effectively,Leadership,0.9,negative,0.73
53,managed deadlines,Teamwork,0.76,negative,0.81
54,communicated effectively,Problem Solving,0.67,negative,0.86
55,resolved conflicts,Teamwork,0.49,negative,0.96
56,resolved conflicts,Adaptability,0.15,positive,0.69
